"book_name","chapter_id","entry_id","date","sentence","pos","neg","neu","immigration"
"SofS","c04","chc04_e19","July 28, 1847","She shook her head but, to my mind, seemed to have doubts on the matter.",0,0,1,0
"SofS","c04","chc04_e19","July 28, 1847","“Some people say that fairies are fallen angels,” I said.",0,0,1,1
"SofS","c04","chc04_e19","July 28, 1847","“Do you know about fallen angels?” Again she shook her head.",0,0,1,0
"SofS","c04","chc04_e19","July 28, 1847","Well, she is only seven and a Protestant to boot.",0,0,1,1
"SofS","c04","chc04_e19","July 28, 1847","I asked her if she would like to hear a fairy story while I worked.",1,0,0,0
"SofS","c04","chc04_e19","July 28, 1847","She looked up at me through thick brown lashes and nodded solemnly.",1,0,0,0
"SofS","c04","chc04_e19","July 28, 1847","I told her the story of Lusmore the humpback and how it came about that he encountered some fairies and won them over with his beautiful voice and respectful manner.",1,0,0,1
"SofS","c04","chc04_e19","July 28, 1847","The fairies rewarded him for his singing and his courtesy by removing the ugly hump from his back.",1,0,0,0
"SofS","c04","chc04_e19","July 28, 1847","Another humpback heard of Lusmore’s luck and asked him his secret.",0,0,1,0
"SofS","c04","chc04_e19","July 28, 1847","Nellie’s eyes were wide when she asked if Lusmore had told him about the fairies.",0,0,1,0
"SofS","c04","chc04_e19","July 28, 1847","“Indeed, he did,” I answered, “for he was a good and generous man.” But the second humpback was not like Lusmore.",1,0,0,0
"SofS","c04","chc04_e19","July 28, 1847","He interrupted the fairies when they sang their fairy songs and he was disrespectful enough to demand that they remove his hump as they had removed Lusmore’s.",0,1,0,0
"SofS","c04","chc04_e19","July 28, 1847","His rudeness was rewarded: Not only did the fairies refuse to remove his hump, but they added Lusmore’s to his back as well and he went away worse off than when he arrived.",0,1,0,0
"SofS","c04","chc04_e19","July 28, 1847","“And that is why when you see a fairy or even think that one is about, you must always be respectful,” I told her.",1,0,0,1
"SofS","c04","chc04_e19","July 28, 1847","“For fairies can be kind to those who are kind, but will punish those who are disrespectful or cruel.” She stared up at me for a very long time and then asked, “Are there fairies here?” I told her I did not know, and that was the truth of it.",1,0,0,1
"SofS","c04","chc04_e19","July 28, 1847","She must have worried that there were fairies about for she thanked me sweetly for the story — three times !",1,0,0,0
"SofS","c05","chc05_e6","August 8, 1847","I passed the evening with two other girls who were put out to service but had been sent back by their mistresses.",1,0,0,1
"SofS","c05","chc05_e6","August 8, 1847","Eileen, who is thirteen, was sent back because she kept breaking things, for which she was beaten.",0,1,0,1
"SofS","c05","chc05_e6","August 8, 1847","Mary Catherine, fifteen, was sent back when she fell ill. She is a thin little thing, all eyes and bones, and easily looks younger than her true age.",0,1,0,1
"SofS","c05","chc05_e6","August 8, 1847","She is better now that she is back with the sisters, but not strong enough to work yet.",1,0,0,1
"SofS","c05","chc05_e6","August 8, 1847","She has been told some charitable family will take her in but wishes to stay with the sisters.",0,1,0,1
"SofS","c05","chc05_e6","August 8, 1847","She says she wants to take her orders.",0,0,1,1
"SofS","c05","chc05_e6","August 8, 1847","It was so nice to have someone to talk to for a change.",1,0,0,0
"SofS","c05","chc05_e6","August 8, 1847","That is one good thing about this house.",1,0,0,0
"SofS","c05","chc05_e6","August 8, 1847","But no one stays for long.",0,1,0,1
"SofS","c05","chc05_e6","August 8, 1847","You get to know a girl one day, and the next she is off to a new home or a new position.",0,1,0,1
"SofS","c05","chc05_e6","August 8, 1847","There is no chance of becoming dear and close friends who know each other like sisters, the way Anna and I did.",0,1,0,0
"SofS","c05","chc05_e6","August 8, 1847","I wonder if Anna has made new friends.",0,1,0,0
"SofS","c05","chc05_e6","August 8, 1847","I wonder if she has forgotten me.",0,1,0,0
